Fecha-Hora,Cantidad de Likes,Cantidad de retweets,Veces citado,Tweet,Candidato,Espacio,Usr,url
2023-06-03 19:59:52+00:00,54,14,0,Son un gran ejemplo de lucha.¡Fuerza docentes de Salta!,DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1665131211168137217
2023-06-02 18:04:14+00:00,61,28,1,"Intensa jornada en #Tucumán, acompañando a @AleArreguezPTS en la recta final de una gran campaña del @Fte_Izquierda. Contra el régimen fraudulento de los acoples y aparatos millonarios crece la voz de la izquierda, de las mujeres que luchan y de las y los trabajadores ✊🏼 https://t.co/VQ7Z5NelWj",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664739725163339776
2023-06-02 17:37:56+00:00,16,4,0,"Es fraude laboral, tratan a los trabajadores como material descartable. Jornadas de 12 hs y sin francos. Las empresas se la llevan en pala gracias al gobierno que avala la precarizacion laboral.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664733107428179969
2023-06-02 17:27:20+00:00,100,30,1,"¡Todo nuestro repudio a los despidos encubiertos en Siat!

Mientras Alberto Fernandez y Massa felicitaron publicamente a los trabajadores por la construccion del gasoducto Néstor Kirchner y Paolo Rocca asegura que hay continuidad laboral, casi 100 trabajadores son  despedidos.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664730440345739264
2023-06-02 12:34:39+00:00,211,43,21,Todo nuestro repudio a este cobarde ataque. Nuestra solidaridad con las compañeras y compañeros de @IzqSocialista.,DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664656781350510592
2023-06-01 18:06:42+00:00,40,10,1,"Brutal Ajuste. Jubilaciones: perdieron 30 % desde 2019 sin contar el bono a la mínima. https://t.co/XJLc0ZIMQ9 
Por LID Economía , vía @izquierdadiario",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664377959384326144
2023-06-01 14:14:10+00:00,65,12,0,"Están liquidando hasta en lo formal la supuesta división de poderes, ya que el ejecutivo y el legislativo eligen a los jueces. Son ""Republicanos"" de cartón. Quieren un régimen totalitario para mantener los salarios más bajos del país y la entrega del Litio a las multinacionales.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664319440022913050
2023-06-01 14:14:09+00:00,68,13,0,"Usted mintió en su campaña. Jamás dijo que iba a plantear la eliminación de las elecciones de medio término y votar cada 4 años, como ahora pretende. Menos aún, la idea que están instalando para que quien gane la gobernación automáticamente tenga mayoría en la Legislatura.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664319436864602120
2023-06-01 14:14:09+00:00,168,78,3,"[Hilo] 
@GerardoMorales las movilizaciones en Jujuy y en Buenos Aires hicieron que el país sepa su intención de imponer un régimen autoritario. No solo quieren limitar el derecho a la protesta, sino también al del voto.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664319434570317846
2023-06-01 13:43:29+00:00,3,0,0,@raulgodoy__ ✊🏼,DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664311716522475539
2023-05-31 19:05:46+00:00,110,42,2,Toda nuestra solidaridad con @Crespo_Ale_M y los trabajadores del SUTNA ante el ataque persecutorio de la patronal de Brigestone.,DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664030433997205508
2023-05-31 17:07:17+00:00,81,37,4,"¿Qué dice @GugaLusto de la reforma constitucional totalitaria de su amigo Gerardo Morales?. Restringir más la protesta, unificar elecciones legislativas con ejecutivas y  hasta se habla de mayoría automática en la legislatura para quien gane el poder ejecutivo aunque saque 30%.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1664000619160432641
2023-05-31 10:34:04+00:00,132,51,1,"Irracionalidad capitalista al palo. Ahí mismo, cerquita de Vaca Muerta, la gente no tiene acceso a la red de gas. 
Puro saqueo, destrucción ambiental, pobreza y desigualdad.",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1663901662635753473
2023-05-29 21:04:45+00:00,432,91,15,"Milei llora diciendo que los medios no le dan espacio como antes o que lo atacan. Se queja, pero es un títere del poder económico que lo transformó de triste panelista de TV en candidato para que diga lo que los grandes empresarios quieren escuchar. Es un desagradecido 😂",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1663335600106229762
2023-05-29 15:40:52+00:00,268,79,3,Salta de pie en apoyo a la lucha docente y en defensa de la educación pública. ✊🏼🔥 https://t.co/gqp8f7cWuN,DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1663254092209061909
2023-05-29 14:19:40+00:00,96,48,1,"El gobierno de Kicillof y la intendencia deben cumplir los compromisos. Son rápidos para reprimir a los humildes, pero tardan años en cumplir con el reclamo elemental de un techo para vivir. Todo el apoyo a la lucha de las familias.
https://t.co/w8KOzvfbgu, vía @izquierdadiario",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1663233658415726592
2023-05-29 10:37:23+00:00,145,45,2,"El 29 de Mayo de 1969 obreros y estudiantes tomaron la ciudad de Córdoba. El Cordobazo en la ""Detroit argentina"" fue el principio del fin de la dictadura de Onganía y marcó un camino para toda la clase trabajadora de aquellos años. https://t.co/ic2QllCUv3",DelCaño,FIT,NicolasdelCano,https://twitter.com/NicolasdelCano/status/1663177719255904259
2023-06-04 12:44:07+00:00,5,0,0,"@GuarnerioH @JMilei Así es, Delio era mi bisabuelo. Muy linda la plazoleta que le hicieron.",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1665383939890896896
2023-06-03 19:59:26+00:00,2126,379,14,"Caminata por San Martín, Provincia de Buenos Aires. #MileiVillarruel2023 La Libertad Avanza 🇦🇷 @JMilei https://t.co/4Yj8zTulCG",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1665131105630945281
2023-06-03 14:33:02+00:00,3288,622,21,Recuperemos la Argentina donde quien da la órdenes sea un hombre probo y no un montonero. ¡Feliz Día del soldado! https://t.co/AdfkjAzjCi,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1665048964301746180
2023-06-03 13:59:40+00:00,3849,946,22,"Un policía de 22 años asesinado de 1 tiro en la cabeza. Se identificó como policía al querer robarle la moto. El Estado no protege a nadie. Mi pésame a la flia del oficial Horacio Borja López. No lo vas a ver en los medios inundados de zafaronismo, al delincuente cárcel y castigo https://t.co/evZmCX5Wwn",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1665040564646019072
2023-06-02 11:19:37+00:00,229,7,0,"@Felii_N Un abrazo Felipe, QEPD. Voy a tenerla en mis oraciones.",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1664637900456091651
2023-06-01 13:54:16+00:00,508,159,3,"@MJMendezCasarie Expresar repudio en todos lados, redes incluidas. Exigir a los políticos que no entreguen nuestro territorio y dejen de pensar medidas demagógicas, reclamar a los diputados de las provincias de la Patagonia que defiendan los intereses de los ciudadanos afectados, etc",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1664314429775790082
2023-06-01 10:43:05+00:00,972,455,18,El secretario de DDHH Pietragalla le ordenó al juez Greca q detuviera el juicio iniciado en 2021 y convocó a una mesa de diálogo en la q los vecinos usurpados NO fueron invitados. Hoy firmarán la entrega de tierras a la Gremial de Abogados (montoneros q representan a los mapuches),Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1664266318382759937
2023-06-01 10:43:02+00:00,4858,2337,124,Gravísima entrega de territorio hoy! El gobierno citó a los abogados de los mapuches usurpadores en Villa Mascardi para hoy a las 13 en la ex ESMA para un acuerdo donde les entregarán tierras del Parque Nacional Nahuel Huapi. Las víctimas de las usurpaciones NO fueron invitadas. https://t.co/zz6GYdaFuY,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1664266304470253571
2023-06-01 09:27:39+00:00,2255,419,13,Caminata sorpresa en CABA en la Comuna 2 #MileiVillarruel2023 #Milei2023 https://t.co/MwEDsWC922,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1664247334065127427
2023-06-01 00:25:54+00:00,75,5,0,@NinaLetizia1 @JMilei Un gusto conocerte Nina!!!,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1664110998721118208
2023-05-30 15:24:52+00:00,8667,604,54,@AyelenMazzina Solo entré a ver los comentarios. Atentamente La Derecha.,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663612457292644355
2023-05-30 14:03:44+00:00,3690,884,40,"Mataron a un hombre q se resistió al robo de su auto. Con @JMilei nos metimos al barro de la política para estar del lado de las victimas, para combatir la nefasta doctrina zaffaroniana y erradicar la inseguridad de nuestras calles. Queremos vivir en paz, con orden y libertad. https://t.co/wiR7EJwdk5",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663592037898125345
2023-05-30 11:39:14+00:00,6756,1116,78,¡Con @JMilei vamos a cerrar este nido de ñoquis caros!,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663555671915368451
2023-05-29 22:58:28+00:00,4,0,0,@astrada_ale @Fernoi34 Gracias por colaborar con @celtyv!!! Todo lo recaudado se destina a la Asociación Civil.,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663364219654242305
2023-05-29 13:16:28+00:00,5420,1637,137,"Milei está siendo censurado. Twitter impuso un shadowban sobre la cuenta de @JMilei impidiendo q se lo encuentre en las búsquedas o q lo q escribe sea visto. Siendo candidato a Presidente esto no es casual. La gente que nos silencia nos define, estamos por el camino correcto. https://t.co/afrO1rRJRZ",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663217756630597635
2023-05-29 10:45:24+00:00,4846,833,19,¡Feliz Día del Ejército Argentino! Nació con la Patria. @JMilei https://t.co/yP4A3fIlkN,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663179738163052544
2023-05-28 23:19:20+00:00,1185,199,5,Gran elección de @vox_es en las municipales y autonomicas. Felicitaciones @Ortega_Smith @Santi_ABASCAL @monasterioR 🇦🇷🇪🇸 https://t.co/GwTTugVL1P,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663007082365198337
2023-05-28 21:41:11+00:00,4,0,0,@profe_pabloluna @horaciorlarreta Pretender internacionalizar la Defensa es un delirio.,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662982383245705221
2023-05-28 21:30:17+00:00,900,182,7,"Es de inconscientes y de profunda ignorancia creer que no hay hipótesis de conflicto. Nadie que pretenda ser Presidente puede desconocer la relevancia de la Defensa, porque sin Defensa no hay soberanía. https://t.co/EqaiJIX6Gg",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979639914946563
2023-05-28 21:30:15+00:00,917,175,10,"Respecto de las hipótesis de conflicto no son algo inminente y definido sino más bien difuso y a largo plazo. Argentina tiene un reclamo territorial en Malvinas, siendo una nación occidental tenemos una base china en Neuquén, problemas de incipiente separatismo en la Patagonia, recursos riquísimos en hidrocarburos, una muy extensa plataforma continental, línea recta a la Antártida, etc…",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979633380302853
2023-05-28 21:30:14+00:00,736,120,0,"Tenemos el presupuesto más bajo de la región y de nuestra historia con 0.7% del PBI, con políticos que subestiman la Defensa Nacional utilizando sus recursos como moneda de cambio en los gobiernos. No hay un Sistema integrado de Defensa Nacional y las FFAA sufren recortes presupuestarios constantes y falta de adiestramiento e insumos.",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979625646006274
2023-05-28 21:30:11+00:00,2298,554,23,Viendo a Larreta opinar sobre Defensa uno nota q no conoce del tema. La Defensa permite garantizar los intereses vitales de un país. Está definida en el art 2 de la ley 23554. Es una función indelegable del Estado xq la presencia de las FFAA se basa en la existencia misma de ese Estado y no en un conflicto concreto. @JMilei,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979615881560076
2023-06-04 21:31:44+00:00,978,202,20,"Hoy los cordoboses confiaron en el equipo de Juntos por el Cambio.

👉 GANAMOS POR PRIMERA VEZ EN Villa Quillinzo, Santa Rosa de Calamuchita, Puesto de Castro, Valle Hermoso, Bialet Massé, Anisacate, y La Calera.

👉 NOS VOLVIERON A ELEGIR EN Villa Giardino, Sebastián Elcano, Berrotarán, Talares, Las Albahacas, Jovita, Isla Verde, Colonia Prosperidad, Pilar, Villa del Rosario, Los Cóndores, Salsacate, Monte de los Gauchos, Baigorria, Chazón, Etruria, Laborde, La Laguna, General Levalle, Cruz de Caña, Serrezuela, El Brete, Las Cañadas, Calchín, Tala Huasi, y Siquiman.

La esperanza se expande a lo largo y ancho de nuestro país. Falta cada día menos para lograr el cambio que nos merecemos, en equipo y juntos 🤍",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1665516720205774848
2023-06-01 22:12:46+00:00,173,47,1,". @rodrigodeloredo, @SoherElSukaria y junto a ellos, miles de cordobeses que quieren recuperar su ciudad, la provincia y el país.

Confío en este equipo para hacer de Córdoba #LaNúmero1. Vamos 🇦🇷🚀!",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664439884470267904
2023-06-01 19:34:40+00:00,218,57,5,"El cambio comienza cuando la mayoría dice BASTA, y sé que millones de tucumanos están dispuestos a elegir futuro.

Junto a @RSanchezOK y @alfarogerman , el 11 de junio, Tucuman puede hacer historia. Sí, se puede. https://t.co/UKmd6EKwhW",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664400094781743105
2023-06-01 14:56:59+00:00,4218,1416,195,"“No tenemos pediatras en el hospital, los chicos no aprenden nada en el colegio""

Deberías escucharla, @Kicillofok https://t.co/6cYmCuGlCS",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664330213663145984
2023-05-31 18:16:18+00:00,1027,215,376,"¿Qué país le dejamos a los jóvenes? Comprar una casa es imposible, alquilar es muy difícil, y llegar a fin de mes es cada vez más complicado.

Recuperar Argentina es devolverles el futuro, con educación de calidad y oportunidades del Siglo XXI, para que emigrar sea una opción, y no una condena.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664017984321404928
